CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})

CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})

CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})

CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})

CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})

CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})

CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
CREATE (XXX:Modul {anwesenheitspflichtig: X, inSemester: X, name: 'XXX', pflichtveranstaltung: X})
